GUI Tab,Function,Feature,Keyword,Dependency,Type,Min,Max,Description
Air Cooled ECU,Arbitration Type,Arbitration AC Platform,arbitrationA,airCooled;turboProp,Selection,1,1,Arbitration scheme TPR Platform.
Air Cooled ECU,Auto Reset Type,Auto Reset AC Platform,autoResetA,airCooled;turboProp,Selection,1,1,Auto reset function for AC platform.
Air Cooled ECU,Degrade Mode Type,Degrade Mode AC Platform,degradeModeA,airCooled;turboProp,Selection,1,1,Degrade Mode calculation AC Platform.
Air Cooled ECU,ECU BIT,Air Cooled ECU BIT,ecuBitA,airCooled;turboProp,Selection,1,1,ECU BIT for Air Cooled platform
Air Cooled ECU,Engine Discrete Electrical Interface,Shared Channel,engDisSharedElectInt,airCooled,Selection,1,1,Electrical interface specifications for shared architecture
Air Cooled ECU,Fuel Temperature Sensor,Installed,fuelTempSensorAvail,airCooled,Selection,1,1,"Fuel Temperature Sensor is available.  Non-shared, dual-wound, 2-wire RTD mounted in the FFM."
Air Cooled ECU,Manual Power Reserve,Manual Power Reserve Discrete (MPR) option,powerRatingMPRDiscrete,airCooled,Option,0,1,MPR aircraft switch installed to enable MPR power rating
Air Cooled ECU,Manual Power Reserve,Manual Power Reserve Throttle Lever (MPR) option,powerRatingMPRPushThrough,airCooled,Option,0,1,MPR push through installed on the throttle to enable MPR power rating
Air Cooled ECU,Master Kill Type,Master Kill AC Platform,masterKillA,airCooled;turboProp,Selection,1,1,Master Kill function for AC Platform.
Air Cooled ECU,Muted Recovery Degraded Mode ,Has muted recovery for degraded mode,ccdlDegradeLatch,airCooled,Selection,1,1,In degraded mode there is muted bus recovery
Air Cooled ECU,Oil Temperature Sensor,Installed,oilTempSensorAvail,airCooled,Selection,1,1,Oil Temperature Sensor is available
Air Cooled ECU,Temperature Reading,Rate Limited & Filtered Final Value,rtdRateLimFilteredSel,fuelTempSensorAvail,Selection,1,1,RTD selected signals are rate limited and filtered
Air Cooled ECU,Temperature Reading,Rate Limited & Filtered Final Value,rtdRateLimFilteredSel,oilTempSensorAvail,Selection,1,1,RTD selected signals are rate limited and filtered
Air Cooled ECU,Vibration Sensor,Installed,vibrationSense,airCooled,Option,0,1,"Vibration Sensor is installed, shared 2-wire moving magnet sensor.  Provides direct hardwired interface to ground support equipment interface."
Air Cooled ECU,Warm Boot,Air Cooled Warm Boot,warmBootA,airCooled;turboProp,Selection,1,1,Warm Boot for Air Cooled platform
Aircraft Interfaces,Anti-Ice Command Switch,Anti-Ice Command SW Installed,aiCmdSW,Common,Option,0,1,Anti-Ice Command switch installed
Aircraft Interfaces,Anti-Ice Command Switch,Independent Engine Wiring A/I Command,aiCmdSingleEngineWiring,aiCmdSW;indepEngineWiring,Selection,1,1,Independent Engine wiring for anti-ice command
Aircraft Interfaces,Anti-Ice Command Switch,Shared Engine Wiring A/I Command,aiCmdDualEngineWiring,aiCmdSW;sharedEngineWiring,Selection,1,1,Shared Engine wiring for anti-ice command
Aircraft Interfaces,Engine Wiring Configuration,Independent Engine Wiring,indepEngineWiring,Common,Selection,1,1,Independent Engine Wiring configuration
Aircraft Interfaces,Engine Wiring Configuration,Shared Engine Wiring,sharedEngineWiring,dualEngine,Selection,1,1,Shared Engine Wiring configuration
Aircraft Interfaces,Flight Idle Switch,Flight Idle SW Installed,flightIdleSW,Common,Option,0,1,Flight Idle switch installed
Aircraft Interfaces,Flight Idle Switch,Independent Engine Wiring FI,flightIdleSingleEngineWiring,flightIdleSW;indepEngineWiring,Selection,1,1,Independent Engine wiring for FI switch
Aircraft Interfaces,Flight Idle Switch,Shared Engine Wiring FI,flightIdleDualEngineWiring,flightIdleSW;sharedEngineWiring,Selection,1,1,Shared Engine wiring for FI switch
Aircraft Interfaces,Ground Idle Switch,Ground Idle SW Installed,groundIdleSW,Common,Option,0,1,Ground Idle switch installed
Aircraft Interfaces,Ground Idle Switch,Independent Engine Wiring GI,groundIdleSingleEngineWiring,groundIdleSW;indepEngineWiring,Selection,1,1,Independent Engine wiring for GI switch
Aircraft Interfaces,Ground Idle Switch,Shared Engine Wiring GI,groundIdleDualEngineWiring,groundIdleSW;sharedEngineWiring,Selection,1,1,Shared Engine wiring for GI switch
Aircraft Interfaces,Ignition Switch,Ignition SW Installed,ignitionSW,Common,Option,0,1,Ignition switch installed
Aircraft Interfaces,Ignition Switch,Independent Engine Wiring Ign,ignitSingleEngineWiring,ignitionSW;indepEngineWiring,Selection,1,1,Independent Engine wiring for Ignition switch
Aircraft Interfaces,Ignition Switch,Shared Engine Wiring Ign,ignitDualEngineWiring,ignitionSW;sharedEngineWiring,Selection,1,1,Shared Engine wiring for Ignition switch
Aircraft Interfaces,Mach Hold,Independent Engine Wiring Mach Hold,machHoldSingleEngineWiring,machHold;indepEngineWiring,Selection,1,1,Independent Engine wiring for Mach Hold installations
Aircraft Interfaces,Mach Hold,Mach Hold Mode Enabled,machHold,Common,Option,0,1,Mach hold mode enable
Aircraft Interfaces,Mach Hold,Shared Engine Wiring Mach Hold,machHoldDualEngineWiring,machHold;sharedEngineWiring,Selection,1,1,Shared Engine wiring for Mach Hold installations
Aircraft Interfaces,Maintenance Enabled Switch,Independent Engine Wiring Maint,maintSingleEngineWiring,maintEnableSW;indepEngineWiring,Selection,1,1,Independent Engine wiring for Maintenance Enabled switch
Aircraft Interfaces,Maintenance Enabled Switch,Maintenance Enabled SW Installed,maintEnableSW,Common,Option,0,1,Maintenance switch installed
Aircraft Interfaces,Maintenance Enabled Switch,Shared Engine Wiring Maint,maintDualEngineWiring,maintEnableSW;sharedEngineWiring,Selection,1,1,Shared Engine wiring for Maintenance Enabled switch
Aircraft Interfaces,Reverse Request Switch,Independent Engine Wiring RR,revRqstSingleEngineWiring,revRqstSW;indepEngineWiring,Selection,1,1,Independent Engine wiring for RR ;switch
Aircraft Interfaces,Reverse Request Switch,Reverse Request SW Installed,revRqstSW,Common,Option,0,1,Reverse request switch installed
Aircraft Interfaces,Reverse Request Switch,Shared Engine Wiring RR,revRqstDualEngineWiring,revRqstSW;sharedEngineWiring,Selection,1,1,Shared Engine wiring for RR switch
Aircraft Interfaces,Shutdown Command MIO Signal Mapping Designation,Shutdown CMD MIO Signal Mapping A,shutdownCmdInstA,airCooled,Selection,1,1,"Shutdown Command MIO Signal Mapping Bit Designation, option A"
Aircraft Interfaces,Shutdown Command MIO Signal Mapping Designation,Shutdown CMD MIO Signal Mapping B,shutdownCmdInstB,fuelCooled,Selection,1,1,"Shutdown Command MIO Signal Mapping Bit Designation, option B"
Aircraft Interfaces,Shutdown Switch,Independent Engine Wiring Shutdown,shutdownSingleEngineWiring,shutdownSW;indepEngineWiring,Selection,1,1,Independent Engine wiring for Shutdown switch
Aircraft Interfaces,Shutdown Switch,Shared Engine Wiring Shutdown,shutdownDualEngineWiring,shutdownSW;sharedEngineWiring,Selection,1,1,Shared Engine wiring for Shutdown switch
Aircraft Interfaces,Shutdown Switch,Shutdown SW Installed,shutdownSW,Common,Option,0,1,Shutdown switch installed
Aircraft Interfaces,Weight-on-wheels Switch,Independent Engine Wiring WOW,wowSingleEngineWiring,wowSW;indepEngineWiring,Selection,1,1,Independent Engine wiring for WOW switch
Aircraft Interfaces,Weight-on-wheels Switch,Shared Engine Wiring WOW,wowDualEngineWiring,wowSW;sharedEngineWiring,Selection,1,1,Shared Engine wiring for WOW switch
Aircraft Interfaces,Weight-on-wheels Switch,WOW SW Installed,wowSW,Common,Option,0,1,WOW switch installed
Channel Health,Channel Health Execution,Channel Health Execution Version A,channelHealthCalcA,channelHealthCalc01a;channelHealthCalc02a;channelHealthCalc03a;channelHealthCalc04a;channelHealthCalc05a;channelHealthCalc06a;channelHealthCalc07a;channelHealthCalc08a;channelHealthCalc09a;channelHealthCalc10a,Selection,1,1,Channel Health Version A Execution Order
Channel Health,Channel Health Execution,Channel Health Execution Version B,channelHealthCalcB,channelHealthCalc01b;channelHealthCalc02b;channelHealthCalc03b;channelHealthCalc04b;channelHealthCalc05b;channelHealthCalc06b;channelHealthCalc07b;channelHealthCalc08b;channelHealthCalc09b;channelHealthCalc10b,Selection,1,1,Channel Health Version B Execution Order
Channel Health,Level 1 Channel Health Type,Level 1 Channel Health Version A,channelHealthCalc01a,airCooled;turboProp;HSIgniter,Selection,1,1,"The level 1 Channel Health calculation, version A."
Channel Health,Level 1 Channel Health Type,Level 1 Channel Health Version B,channelHealthCalc01b,fuelCooled;turboFan;atsPermit;dualACPwr;ecuBitB;ignRelay;loadInhibit;modeTransfer;overspeedDeenergize;overspeedReset,Selection,1,1,"The level 1 Channel Health calculation, version B.  Provides different dependencies from version A."
Channel Health,Level 10 Channel Health Type,Level 10 Channel Health Version A,channelHealthCalc10a,airCooled;turboProp;n2SingleSource;scavengeDeOilCoil;supplyDeOilCoil;mvTMCrossChannelBorrowing,Selection,1,1,"The level 10 Channel Health calculation, version A."
Channel Health,Level 10 Channel Health Type,Level 10 Channel Health Version B,channelHealthCalc10b,fuelCooled;turboFan;cgvLVDT;cgvTMLocalChannelOnlyCommandTracking;masterKillB;modeTransfer;mvTMLocalChannelOnlyCommandTracking,Selection,1,1,"The level 10 Channel Health calculation, version B.  Provides different dependencies from version A."
Channel Health,Level 2 Channel Health Type,Level 2 Channel Health Version A,channelHealthCalc02a,airCooled;turboProp;n2SecondarySource;HSIgniter,Selection,1,1,"The level 2 Channel Health calculation, version A."
Channel Health,Level 2 Channel Health Type,Level 2 Channel Health Version B,channelHealthCalc02b,fuelCooled;turboFan;atsPermit;ignRelay;loadInhibit;Mil1553;modeTransfer,Selection,1,1,"The level 2 Channel Health calculation, version B.  Provides different dependencies from version A."
Channel Health,Level 3 Channel Health Type,Level 3 Channel Health Version A,channelHealthCalc03a,airCooled;turboProp;vibrationSense;wfFiltBypOpenIsBypass,Selection,1,1,"The level 3 Channel Health calculation, version A."
Channel Health,Level 3 Channel Health Type,Level 3 Channel Health Version B,channelHealthCalc03b,fuelCooled;turboFan;chipDetectSingleChInput;engDis1ChanInputElectInt;pcuReset,Selection,1,1,"The level 3 Channel Health calculation, version B.  Provides different dependencies from version A."
Channel Health,Level 4 Channel Health Type,Level 4 Channel Health Version A,channelHealthCalc04a,airCooled;turboProp;motiveFlowLockoutCoil;scavengeDeOilCoil;supplyDeOilCoil,Selection,1,1,"The level 4 Channel Health calculation, version A."
Channel Health,Level 4 Channel Health Type,Level 4 Channel Health Version B,channelHealthCalc04b,fuelCooled;turboFan,Selection,1,1,"The level 4 Channel Health calculation, version B.  Provides different dependencies from version A."
Channel Health,Level 5 Channel Health Type,Level 5 Channel Health Version A,channelHealthCalc05a,airCooled;turboProp;antiIceCoil;betaPressSensor;chipDetectDualChSharedInput;ignitionSW;machHold;maintEnableSW;motiveFlowLockoutCoil;oilFiltBypOpenIsBypass;runCoil,Selection,1,1,"The level 5 Channel Health calculation, version A."
Channel Health,Level 5 Channel Health Type,Level 5 Channel Health Version B,channelHealthCalc05b,fuelCooled;turboFan,Selection,1,1,"The level 5 Channel Health calculation, version B.  Provides different dependencies from version A."
Channel Health,Level 6 Channel Health Type,Level 6 Channel Health Version A,channelHealthCalc06a,airCooled;turboProp;aiCmdSW;antiIceCoil;Arinc;conditionLever;ecoMode;featherCoil;HSIgniter;ntsOilPressSensor;oilTempSensorAvail;overspeedCoil;pmaPower;runCoil;scavengeDeOilCoil;startCmdSW;starterRelay;supplyDeOilCoil;unfeatherPump,Selection,1,1,"The level 6 Channel Health calculation, version A."
Channel Health,Level 6 Channel Health Type,Level 6 Channel Health Version B,channelHealthCalc06b,fuelCooled;turboFan,Selection,1,1,"The level 6 Channel Health calculation, version B.  Provides different dependencies from version A."
Channel Health,Level 7 Channel Health Type,Level 7 Channel Health Version A,channelHealthCalc07a,airCooled;turboProp;propGovernor;revRqstSW;wowSW,Selection,1,1,"The level 7 Channel Health calculation, version A."
Channel Health,Level 7 Channel Health Type,Level 7 Channel Health Version B,channelHealthCalc07b,fuelCooled;turboFan,Selection,1,1,"The level 7 Channel Health calculation, version B.  Provides different dependencies from version A."
Channel Health,Level 8 Channel Health Type,Level 8 Channel Health Version A,channelHealthCalc08a,airCooled;turboProp;propPitchController;torqueSensor,Selection,1,1,"The level 8 Channel Health calculation, version A."
Channel Health,Level 8 Channel Health Type,Level 8 Channel Health Version B,channelHealthCalc08b,fuelCooled;turboFan;p3InternalSeperatePipes,Selection,1,1,"The level 8 Channel Health calculation, version B.  Provides different dependencies from version A."
Channel Health,Level 9 Channel Health Type,Level 9 Channel Health Version A,channelHealthCalc09a,airCooled;turboProp;propGovernor,Selection,1,1,"The level 9 Channel Health calculation, version A."
Channel Health,Level 9 Channel Health Type,Level 9 Channel Health Version B,channelHealthCalc09b,fuelCooled;turboFan;degradeModeB;n1SingleSource;n2SingleSource,Selection,1,1,"The level 9 Channel Health calculation, version B.  Provides different dependencies from version A."
Common Function,Common Features,Common,Common,0_Common,Selection,1,1,Common Functions
Communications,ARINC-429 Configuration,Dual ARINC-429,dualArinc,Arinc,Selection,1,1,ECU transmits and receives data over ARINC-429 using the Dual ARINC configuration
Communications,ARINC-429 Configuration,Quad ARINC-429,quadArinc,Arinc,Selection,1,1,ECU transmits and receives data over ARINC-429 using the Quad ARINC configuration
Communications,ARINC-429 Configuration PH,Dual ARINC-429,dualArinc429,Arinc429,Selection,1,1,"ECU transmits and receives data over ARINC-429 using the Dual ARINC configuration, two receivers"
Communications,ARINC-429 Configuration PH,Single ARINC-249,singleArinc429,Arinc429,Selection,1,1,"ECU transmits and receives data over ARINC-429 using the SingleARINC configuration, one receiver"
Communications,Avionics Data Bus,ARINC-429,Arinc,8_ARINC-429,Selection,1,1,ECU transmits and receives data over ARINC-429
Communications,Avionics Data Bus,MIL-STD-1553,Mil1553,7_MIL-STD-1553,Selection,1,1,ECU transmits and receives data over MIL-STD-1553
Communications,Avionics Data Bus PH,ARINC-429,Arinc429,Arinc,Selection,1,1,ECU transmits and receives data over ARINC-429 (PH)
Communications,Cross Engine Data Link,Cross Engine Data Link,xEngDataLink,dualEngine,Option,0,1,Cross Engine Data Link
Communications,Ethernet,Ethernet data dump capability,gseEthernetDataDump,gseEthernet,Selection,1,2,Data dump function available via Ethernet interface.
Communications,Ethernet,Ethernet data streaming capability,gseEthernetDataStream,gseEthernet,Selection,1,2,Data streaming function available via Ethernet interface.
Communications,GSE Interface,Has Ethernet transmit capability,gseEthernet,Common,Selection,1,1,Ethernet interface installed to transmit data in addition to RS-422
Communications,GSE Interface,RS-422 Only,gseRS422Only,Common,Selection,1,1,Only RS-422 interface installed to transmit data
Communications,GSE Interface Upload Request,Upload Request open/closed discrete,closedContactUploadRequest,airCooled,Selection,0,1,When contacts are closed the Upload Request is commanded.
Communications,GSE Interface Upload Request,Upload Request open/ground discrete,groundedContactUploadRequest,fuelCooled,Selection,0,1,When contacts are grounded the Upload Request is commanded.
Communications,M1553 Bus Configuration,ECU A and ECU B on Separate M1553 Buses,separateEcuABBusM1553,Mil1553,Option,0,1,ECU A and ECU B are on different MIL-STD-1553 Buses
Communications,M1553 Cross Communication Data BC to ECU Pane 1,Generator Status,genStatusBcToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Generator Status from BC to ECU
Communications,M1553 Cross Communication Data BC to ECU Pane 1,Lateral Acceleration Validity,latAccelValBcToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Lateral Acceleration Validity sent from BC to ECU
Communications,M1553 Cross Communication Data BC to ECU Pane 1,Normal Acceleration Validity,normAccelValBcToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Normal Acceleration Validity sent from BC to ECU
Communications,M1553 Cross Communication Data BC to ECU Pane 1,Selected Impact Pressure Validity,piValBcToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Selected Impact Pressure Validity sent from BC to ECU
Communications,M1553 Cross Communication Data BC to ECU Pane 1,True Freestream Air Temperature Validity,tfatValBcToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,True Freestream Air Temperature Validity sent from BC to ECU
Communications,M1553 Cross Communication Data BC to ECU Pane 2,Angle of Attack from BC,aoaBcToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Angle of Attack sent from BC to ECU
Communications,M1553 Cross Communication Data BC to ECU Pane 2,Mach Number from BC,machBcToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Mach Number sent from BC to ECU
Communications,M1553 Cross Communication Data BC to ECU Pane 2,Pitch Angle Validity,pitchValBcToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Pitch Angle Validity sent from BC to ECU
Communications,M1553 Cross Communication Data BC to ECU Pane 2,Roll Angle Validity,rollValBcToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Roll Angle Validity sent from BC to ECU
Communications,M1553 Cross Communication Data BC to ECU Pane 2,True Freestream Air Temperature from BC,tfatBcToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,True Freestream Air Temperature sent from BC to ECU
Communications,M1553 Cross Communication Data BC to ECU Pane 3,Impact Pressure from BC,piBcToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Impact Pressure sent from BC to ECU
Communications,M1553 Cross Communication Data BC to ECU Pane 3,Seconds in Day from BC,secOfDayBcToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Seconds in Day sent from BC to ECU
Communications,M1553 Cross Communication Data BC to ECU Pane 3,Static Pressure from BC,psBcToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Static Pressure sent from BC to ECU
Communications,M1553 Cross Communication Data BC to ECU Pane 3,Total Air Temperature from BC,tatBcToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Total Air Temperature sent from BC to ECU
Communications,M1553 Cross Communication Data BC to ECU Pane 3,Year from BC,twoDigitYearBcToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Year sent from BC to ECU
Communications,M1553 Cross Communication Data ECU to BC Pane 1,ECU Counter RT to BC,ecuCounterEcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,ECU Counter sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 1,Fuel Flow Feedback Validity RT to BC,wffbValEcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,Fuel Flow Feedback Validity sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 1,P3 Validity RT to BC,p3ValEcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,P3 Validity sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 1,PT2 Validity RT to BC,pt2ValEcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,PT2 Validity sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 1,TT2 Validity RT to BC,tt2ValEcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,TT2 Validity sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 2,CGVCMD Validity RT to BC,cgvcmdValEcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,CGVCMD Validity sent from ECU to BC
